中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
紅菱,water caltrop,ひし,,,,,,10/8/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,桃金娘目,Myrtales,千屈菜科,Lythraceae,,,菱屬,Trapa,兩角菱,Trapa bicornis,紅菱：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 桃金娘目(Myrtales) > 千屈菜科(Lythraceae) > 菱屬(Trapa) > 兩角菱(Trapa bicornis)
番石榴/芭樂,,,,,,,,9/25/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,桃金娘目,Myrtales,桃金娘科,Myrtaceae,桃金娘亞科,Myrtoideae,番石榴屬,Psidium,番石榴,Psidium guajava,番石榴/芭樂：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 桃金娘目(Myrtales) > 桃金娘科(Myrtaceae) > 桃金娘亞科(Myrtoideae) > 番石榴屬(Psidium) > 番石榴(Psidium guajava)
丁香,clove,,,,,,,12/9/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,桃金娘目,Myrtales,桃金娘科,Myrtaceae,桃金娘亞科,Myrtoideae,蒲桃屬,Syzygium,丁香,Syzygium aromaticum,丁香：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 桃金娘目(Myrtales) > 桃金娘科(Myrtaceae) > 桃金娘亞科(Myrtoideae) > 蒲桃屬(Syzygium) > 丁香(Syzygium aromaticum)
蓮霧,,,,,,,,11/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,桃金娘目,Myrtales,桃金娘科,Myrtaceae,桃金娘亞科,Myrtoideae,蒲桃屬,Syzygium,蓮霧,Syzygium samarangense,蓮霧：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 桃金娘目(Myrtales) > 桃金娘科(Myrtaceae) > 桃金娘亞科(Myrtoideae) > 蒲桃屬(Syzygium) > 蓮霧(Syzygium samarangense)
楊桃,,,,,,,,10/23/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,酢漿草目,Oxalidales,酢漿草科,Oxalidaceae,,,楊桃屬,Averrhoa,楊桃,Averrhoa carambola,楊桃：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 酢漿草目(Oxalidales) > 酢漿草科(Oxalidaceae) > 楊桃屬(Averrhoa) > 楊桃(Averrhoa carambola)
大麻（火麻仁）,hemp,,,,,,,11/23/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,大麻科,Cannabaceae,,,大麻屬,Cannabis,尋常大麻,Cannabis sativa,大麻（火麻仁）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 大麻科(Cannabaceae) > 大麻屬(Cannabis) > 尋常大麻(Cannabis sativa)
波羅蜜,,,,,,,,9/7/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,桑科,Moraceae,,,桂木屬,Artocarpus,波羅蜜,Artocarpus altilis,波羅蜜：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 桑科(Moraceae) > 桂木屬(Artocarpus) > 波羅蜜(Artocarpus altilis)
無花果,fig,,,,,,,11/20/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,桑科,Moraceae,,,榕屬,Ficus,無花果,Ficus carica,無花果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 桑科(Moraceae) > 榕屬(Ficus) > 無花果(Ficus carica)
桑（桑葚）,,,,,,,,11/12/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,桑科,Moraceae,,,桑屬,Morus,白桑,Morus alba,桑（桑葚）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 桑科(Moraceae) > 桑屬(Morus) > 白桑(Morus alba)
沙棘,,,,,,,,10/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,胡頹子科,Elaeagnaceae,,,沙棘屬,Hippophae,沙棘,Hippophae rhamnoides,沙棘：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 胡頹子科(Elaeagnaceae) > 沙棘屬(Hippophae) > 沙棘(Hippophae rhamnoides)
棗,,,,,,,,9/4/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,鼠李科,Rhamnaceae,,,棗屬,Ziziphus,棗,Ziziphus jujuba,棗：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 鼠李科(Rhamnaceae) > 棗屬(Ziziphus) > 棗(Ziziphus jujuba)
青棗/滇刺棗/印度棗,,,,,,,,10/22/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,鼠李科,Rhamnaceae,,,棗屬,Ziziphus,印度棗,Ziziphus mauritiana,青棗/滇刺棗/印度棗：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 鼠李科(Rhamnaceae) > 棗屬(Ziziphus) > 印度棗(Ziziphus mauritiana)
山樝,haw,,,,,,,9/4/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,山樝屬,Crataegus,,,山樝：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 山樝屬(Crataegus)
枇杷,loquat,,,,,,,12/12/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,枇杷屬,Eriobotrya,枇杷,Eriobotrya japonica,枇杷：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 枇杷屬(Eriobotrya) > 枇杷(Eriobotrya japonica)
蘋果,apple,,,,,,,9/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,蘋果屬,Malus,蘋果,Malus pumila,蘋果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 蘋果屬(Malus) > 蘋果(Malus pumila)
杏,apricot,,,,,,,10/31/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,李屬,Prunus,杏,Prunus armeniaca,杏：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 李屬(Prunus) > 杏(Prunus armeniaca)
歐洲李,plum,,,,,,,10/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,李屬,Prunus,歐洲李,Prunus domestica,歐洲李：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 李屬(Prunus) > 歐洲李(Prunus domestica)
扁桃（扁桃仁/大杏仁/巴旦木）,almond,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,李屬,Prunus,扁桃,Prunus dulcis,扁桃（扁桃仁/大杏仁/巴旦木）：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 李屬(Prunus) > 扁桃(Prunus dulcis)
梅,,,,,,,,9/17/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,李屬,Prunus,梅,Prunus mume,梅：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 李屬(Prunus) > 梅(Prunus mume)
桃,peach,,,,,,,9/11/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,李屬,Prunus,桃,Prunus persica,桃：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 李屬(Prunus) > 桃(Prunus persica)
櫻桃,cherry,,,,,,,12/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,李屬,Prunus,,,櫻桃：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 李屬(Prunus)
梨,pear,,,,,,,10/5/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,桃亞科,Amygdaloideae,梨屬,Pyrus,,,梨：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 桃亞科(Amygdaloideae) > 梨屬(Pyrus)
蕨麻/人蔘果,,,,,,,,10/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,薔薇亞科,Rosoideae,委陵菜屬,Potentilla,蕨麻,Potentilla anserina,蕨麻/人蔘果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 薔薇亞科(Rosoideae) > 委陵菜屬(Potentilla) > 蕨麻(Potentilla anserina)
草莓,strawberry,,,,,,,9/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,薔薇亞科,Rosoideae,草莓屬,Fragaria,,,草莓：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 薔薇亞科(Rosoideae) > 草莓屬(Fragaria)
玫瑰,rose,,,,,,,9/7/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,薔薇亞科,Rosoideae,玫瑰屬,Rosa,,,玫瑰：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 薔薇亞科(Rosoideae) > 玫瑰屬(Rosa)
刺梨/繅絲花,,,,,,,,10/21/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,薔薇亞科,Rosoideae,玫瑰屬,Rosa,繅絲花,Rosa roxburghii,刺梨/繅絲花：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 薔薇亞科(Rosoideae) > 玫瑰屬(Rosa) > 繅絲花(Rosa roxburghii)
樹莓/覆盆子,red raspberry,,,,,,,10/12/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,薔薇目,Rosales,薔薇科,Rosaceae,薔薇亞科,Rosoideae,懸鉤子屬,Rubus,覆盆子,Rubus idaeus,樹莓/覆盆子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 薔薇目(Rosales) > 薔薇科(Rosaceae) > 薔薇亞科(Rosoideae) > 懸鉤子屬(Rubus) > 覆盆子(Rubus idaeus)
腰果,cashew,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,漆樹科,Anacardiaceae,,,腰果屬,Anacardium,腰果,Anacardium occidentale,腰果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 漆樹科(Anacardiaceae) > 腰果屬(Anacardium) > 腰果(Anacardium occidentale)
芒果,mango,,,,,,,9/6/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,漆樹科,Anacardiaceae,,,芒果屬,Mangifera,芒果,Mangifera indica,芒果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 漆樹科(Anacardiaceae) > 芒果屬(Mangifera) > 芒果(Mangifera indica)
開心果,pistachio,,,,,,,9/6/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,漆樹科,Anacardiaceae,,,黃連木屬,Pistacia,阿月渾子,Pistacia vera,開心果：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 漆樹科(Anacardiaceae) > 黃連木屬(Pistacia) > 阿月渾子(Pistacia vera)
橄欖,,,,,,,,9/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,橄欖科,Burseraceae,,,橄欖屬,Canarium,橄欖,Canarium album,橄欖：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 橄欖科(Burseraceae) > 橄欖屬(Canarium) > 橄欖(Canarium album)
香椿,,,,,,,,2/5/19,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,楝科,Meliaceae,,,香椿屬,Toona,香椿,Toona sinensis,香椿：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 楝科(Meliaceae) > 香椿屬(Toona) > 香椿(Toona sinensis)
藤椒,,,,,,,,9/12/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,芸香科,Rutaceae,脂檀亞科,Amyridoideae,花椒屬,Zanthoxylum,竹葉花椒,Zanthoxylum armatum,藤椒：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 芸香科(Rutaceae) > 脂檀亞科(Amyridoideae) > 花椒屬(Zanthoxylum) > 竹葉花椒(Zanthoxylum armatum)
花椒,,,,,,,,8/29/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,芸香科,Rutaceae,脂檀亞科,Amyridoideae,花椒屬,Zanthoxylum,,,花椒：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 芸香科(Rutaceae) > 脂檀亞科(Amyridoideae) > 花椒屬(Zanthoxylum)
檸檬,,,,,,,,10/1/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,檸檬,Citrus limon,檸檬：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 芸香科(Rutaceae) > 柑橘亞科(Aurantioideae) > 柑橘屬(Citrus) > 檸檬(Citrus limon)
橘子,,,,,,,,8/26/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,,,橘子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 芸香科(Rutaceae) > 柑橘亞科(Aurantioideae) > 柑橘屬(Citrus)
橙子,,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,,,橙子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 芸香科(Rutaceae) > 柑橘亞科(Aurantioideae) > 柑橘屬(Citrus)
柚子,,,,,,,,8/27/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,柑橘屬,Citrus,,,柚子：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 芸香科(Rutaceae) > 柑橘亞科(Aurantioideae) > 柑橘屬(Citrus)
金橘,,,,,,,,10/28/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,芸香科,Rutaceae,柑橘亞科,Aurantioideae,金橘屬,Fortunella,金柑,Fortunella japonica,金橘：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 芸香科(Rutaceae) > 柑橘亞科(Aurantioideae) > 金橘屬(Fortunella) > 金柑(Fortunella japonica)
龍眼,,,,,,,,9/2/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,無患子科,Sapindaceae,,,龍眼屬,Dimocarpus,龍眼,Dimocarpus longan,龍眼：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 無患子科(Sapindaceae) > 龍眼屬(Dimocarpus) > 龍眼(Dimocarpus longan)
荔枝,litchi,,,,,,,10/19/18,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,超薔薇類,superrosids,,,無患子目,Sapindales,無患子科,Sapindaceae,,,荔枝屬,Litchi,荔枝,Litchi chinensis,荔枝：眞核域(Eukaryota) > 綠色植物界(Viridiplantae) > 鏈形植物門(Streptophyta) > 被子植物(Magnoliophyta) > 超薔薇類(superrosids) > 無患子目(Sapindales) > 無患子科(Sapindaceae) > 荔枝屬(Litchi) > 荔枝(Litchi chinensis)
